Req-ID,Category,Sub-Category,Requirement,Priority,Response Type,Vendor Response,Evidence,Notes/Conditions,Score Weight,Tag
RQ-014,Token Lifecycle,Lifecycle State Control,"The platform must support pause/unpause at asset level and freeze/unfreeze at individual holder level, with full audit trail for each state transition.",Important,Yes/Partial/No,,,,"5","[FIXED]"
RQ-015,Token Lifecycle,Primary Offerings,"The platform must support primary token sales with configurable presale/public phases, multi-currency acceptance, per-investor purchase limits, and vesting schedules.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-016,Token Lifecycle,Contract Upgrades,"The platform must support smart contract upgrades via proxy patterns without requiring redeployment or loss of on-chain state.",Desirable,Yes/No,,,,"4","[FIXED]"
RQ-017,Token Lifecycle,Token Features,"Describe the full catalog of pluggable token features available (e.g., AUM fees, transaction fees, collateral management, maturity redemption, voting power, historical balances).",Important,Describe,,,,"4","[FIXED]"
RQ-018,Token Lifecycle,Asset Designer,"The platform must provide a guided asset design interface with multi-step validation, configurable compliance rules, and class-specific parameters for non-technical operators.",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-019,Compliance & Identity,Ex-Ante Enforcement,"The platform must enforce compliance ex-ante — validating every transfer against eligibility rules, identity claims, and jurisdictional constraints before execution on-chain.",Mandatory,Yes/No,,,,"5","[FIXED]"
RQ-020,Compliance & Identity,Compliance Modules,"The platform must provide at minimum 15 configurable compliance module types covering eligibility, restrictions, transfer controls, issuance/supply limits, time-based rules, and settlement/collateral.",Important,Quantitative,,,,"5","[FIXED]"
RQ-021,Compliance & Identity,OnchainID,"The platform must implement on-chain verifiable investor identities with claim-based verification for KYC/KYB credentials, accreditation status, and jurisdictional eligibility, reusable across all assets.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-022,Compliance & Identity,KYC Integration,"The platform must support integration with third-party KYC/KYB providers and provide a multi-version KYC profile system with explicit review workflow (draft → under_review → approved/rejected).",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-023,Compliance & Identity,Jurisdictional Templates,"The platform must provide pre-configured compliance module sets for at least: MiCA (EU), Reg D/S/CF (US), MAS (Singapore), FCA (UK), and JFSA (Japan) frameworks.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-024,Compliance & Identity,Trusted Issuers Registry,"The platform must support a multi-tier trusted issuers registry with at minimum subject-scoped, system-scoped, and global resolution for trusted credential issuers.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-025,Compliance & Identity,Compliance Hierarchy,"The platform must support a multi-tier compliance interface hierarchy enabling incremental migration of individual tokens to new compliance standards without platform-wide cutover.",Desirable,Describe,,,,"4","[FIXED]"
RQ-026,Compliance & Identity,Country Restrictions,"The platform must support both country allow-list and country block-list compliance modules configurable per asset.",Important,Yes/No,,,,"5","[FIXED]"
RQ-027,Compliance & Identity,Holding Period Enforcement,"The platform must support configurable holding period (time-lock) enforcement with exemption expressions for specific investor categories or transaction types.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-028,Compliance & Identity,Transfer Approval,"The platform must support transfer approval workflows where designated compliance officers can approve or reject transfers that require manual review.",Important,Yes/No,,,,"4","[FIXED]"
RQ-029,Compliance & Identity,Compliance Pre-Check,"The platform must provide a compliance simulation/pre-check capability that validates whether a proposed transfer would pass all compliance rules before submission.",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-030,Compliance & Identity,Identity Recovery,"The platform must provide a governed identity recovery process for wallet loss or compromise with deterministic phase tracking and operator oversight.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-031,Settlement & Custody,Atomic DvP,"The platform must support atomic Delivery-versus-Payment (DvP) settlement where both asset and cash legs complete together or both revert.",Mandatory,Yes/No,,,,"5","[FIXED]"
RQ-032,Settlement & Custody,XvP Settlement,"The platform must support Exchange-versus-Payment (XvP) settlement with full lifecycle management including approval, hashlock, cancellation vote logic, and expiry-withdrawal.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-033,Settlement & Custody,Custody Provider Integration,"The platform must support a bring-your-own-custodian model with current production integrations for at least two institutional custody providers.",Mandatory,Yes/Partial/No,,,,"5","[VARIABLE]"
RQ-034,Settlement & Custody,Custody Providers Supported,"List all custody providers currently integrated and describe the depth of each integration (wallet CRUD, transaction signing, approval workflows, provider-native broadcast).",Important,Describe,,,,"4","[FIXED]"
RQ-035,Settlement & Custody,Key Management,"The platform must provide key management with support for multiple secrets backends (e.g., local encrypted, HashiCorp Vault, cloud provider secret managers).",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-036,Settlement & Custody,Wallet Verification,"The platform must enforce multi-factor verification gates (e.g., PIN, TOTP, backup codes) for privileged transaction signing operations.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-037,Settlement & Custody,Provider-Delegated Broadcast,"The platform must support delegating nonce allocation, gas handling, signing, and broadcast to the custody provider when supported, while retaining admission control and workflow state.",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-038,Settlement & Custody,Settlement Finality,"Describe how the platform ensures settlement finality and handles settlement failures, timeouts, or counterparty non-performance.",Mandatory,Describe,,,,"5","[FIXED]"
RQ-039,Settlement & Custody,Payment Rail Integration,"The platform must support integration with institutional payment rails (SWIFT, SEPA, RTGS) via ISO 20022 message standards for fiat settlement legs.",Important,Yes/Partial/No,,,,"4","[VARIABLE]"
RQ-040,Settlement & Custody,Vault Operations,"The platform must support custody vault operations for secure asset holding with governed access controls and audit trails.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-041,Security,Authentication Architecture,"The platform must enforce a hardened two-endpoint authentication architecture separating session-based (UI) and API-key-based (programmatic) access, with API keys explicitly blocked from session endpoints.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-042,Security,API Key Scope Enforcement,"The platform must enforce HTTP-method-based scope control on API keys (read-only for GET, read-write for mutations) to prevent privilege escalation.",Important,Yes/No,,,,"5","[FIXED]"
RQ-043,Security,Data Encryption in Transit,"All API communications must be encrypted via TLS. Blockchain node communication must use HTTPS.",Important,Yes/No,,,,"5","[FIXED]"
RQ-044,Security,Data Encryption at Rest,"The platform must support encryption of sensitive data at rest using industry-standard encryption (AES-256 or equivalent) across all storage backends.",Mandatory,Yes/Partial/No,,,,"5","[VARIABLE]"
RQ-045,Security,Audit Trail Architecture,"The platform must maintain a comprehensive, immutable audit trail covering all asset operations, compliance decisions, identity events, and role changes with full event context.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-046,Security,Error Classification,"The platform must provide structured error codes with metadata (severity, audience, retryable flag, suggested action) for operational forensics on failed transactions.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-047,Security,Penetration Testing,"Provide evidence of third-party penetration testing conducted on the platform within the last 12 months, including scope, testing firm, and summary of findings.",Mandatory,Reference,,,,"5","[VARIABLE]"
RQ-048,Security,Input Validation,"The platform must enforce schema-based input validation across all API endpoints with protection against SQL injection, XSS, and path traversal attacks.",Important,Yes/Partial/No,,,,"5","[FIXED]"
RQ-049,Security,Production Safety Guards,"The platform must implement automated checks that reject deployment of development-only credentials, default signing keys, and insecure defaults in production environments.",Important,Yes/No,,,,"4","[FIXED]"
RQ-050,Security,Security Certifications,"List all security certifications held by the organization (e.g., ISO 27001, SOC 2 Type II) and their current validity dates.",Mandatory,Reference,,,,"5","[VARIABLE]"
RQ-051,Access Control,RBAC Model,"The platform must implement role-based access control (RBAC) with at minimum 5 defined roles enforced both on-chain (smart contracts) and off-chain (API middleware).",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-052,Access Control,System vs Token Permissions,"The platform must separate system-level permissions (identity management, compliance configuration) from token-level permissions (minting, transferring, pausing) to enable granular authorization.",Important,Yes/No,,,,"5","[FIXED]"
RQ-053,Access Control,Organization-Scoped Access,"The platform must support users belonging to multiple organizations with different roles in each, with membership-gated active-organization persistence.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-054,Access Control,Maker-Checker Workflows,"The platform must support segregation of duties with maker-checker approval workflows for privileged operations at both platform and custody layers.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-055,Access Control,Invitation-Gated Enrollment,"The platform must enforce invitation-gated tenant onboarding with explicit membership boundaries to prevent unauthorized access to tenant resources.",Important,Yes/No,,,,"4","[FIXED]"
RQ-056,Access Control,Per-Asset RBAC,"The platform must support per-asset role assignments allowing different operators to manage different tokenized assets within the same tenant.",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-057,Integrations,REST API Completeness,"The platform must expose full CRUD and mutation access to all platform capabilities via a documented REST API with OpenAPI specification.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-058,Integrations,Typed SDK,"The platform must provide a typed SDK (e.g., TypeScript) with contract-bound client, blockchain-aware serializers, and structured error handling for integration development.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-059,Integrations,CLI Tooling,"The platform must provide a comprehensive CLI with at minimum 200 commands covering system administration, token lifecycle, identity/KYC, compliance, and monitoring.",Desirable,Quantitative,,,,"3","[FIXED]"
RQ-060,Integrations,Event Webhooks,"The platform must support configurable event-driven webhook notifications for downstream system integration (e.g., settlement events, compliance decisions, lifecycle state changes).",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-061,Integrations,Idempotent Operations,"All mutation operations must support idempotency keys to enable safe retry from external systems without duplicate transaction risk.",Important,Yes/No,,,,"5","[FIXED]"
RQ-062,Integrations,Core Banking Integration,"Describe the available patterns and reference architectures for integrating the platform with core banking systems.",Important,Describe,,,,"4","[VARIABLE]"
RQ-063,Integrations,External Token Registry,"The platform must support governed registration and lifecycle management of external tokens (e.g., third-party stablecoins used for settlement) with tenant-scoped isolation.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-064,Integrations,ISO 20022 Support,"The platform must be integration-ready for ISO 20022 messaging standards for connectivity with SWIFT, SEPA, and RTGS payment systems.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-065,Operations,Monitoring Stack,"The platform must ship with a three-pillar observability stack covering metrics, structured logs, and distributed tracing.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-066,Operations,Pre-Built Dashboards,"The platform must include pre-built operational dashboards covering operations overview, transaction monitoring, compliance activity, and security events.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-067,Operations,Automated Alerting,"The platform must provide configurable alert thresholds for error rate spikes, latency degradation, chain connectivity issues, and settlement failures with structured notification delivery.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-068,Operations,Transaction Pipeline Visibility,"The platform must provide end-to-end transaction tracing across all pipeline phases (submit → sign → broadcast → confirm) with detailed sub-status classification for failure diagnostics.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
RQ-069,Operations,Blockchain Health Monitoring,"The platform must provide automated blockchain network health monitoring with threshold-based classification, historical timeline data, and live streaming capability.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-070,Operations,Dead-Letter Rescue,"The platform must allow operators to requeue failed transactions from dead-letter state for retry without requiring manual re-submission.",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-071,Operations,Operational Runbooks,"The platform must include documented operational runbooks covering platform setup, asset operations, identity management, monitoring, and recovery procedures.",Important,Yes/Partial/No,,,,"4","[FIXED]"
RQ-072,Operations,CLI Operations Access,"The platform must expose operational health data, monitoring, and administrative functions through CLI commands for terminal-based and scripted operations.",Desirable,Yes/Partial/No,,,,"3","[FIXED]"
RQ-073,Deployment,Cloud Deployment,"The platform must support deployment on at least AWS, GCP, and Azure cloud environments with institution-controlled cloud accounts and data locations.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-074,Deployment,On-Premises Deployment,"The platform must support full on-premises deployment on standard Kubernetes distributions and Red Hat OpenShift within the institution's data center.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-075,Deployment,Hybrid Deployment,"The platform must support hybrid deployment models with production on-premises and non-production in cloud, or any combination.",Important,Yes/No,,,,"4","[FIXED]"
RQ-076,Deployment,High Availability,"The platform must support high availability through Kubernetes-native resilience (pod auto-restart, node failover, rolling updates) and durable execution guarantees.",Mandatory,Yes/Partial/No,,,,"5","[FIXED]"
RQ-077,Deployment,Disaster Recovery,"Describe the platform's disaster recovery capabilities including RPO/RTO targets, backup mechanisms, and data reconstruction approach.",Mandatory,Describe,,,,"5","[VARIABLE]"
RQ-078,Deployment,Data Residency,"The platform must support data residency requirements by allowing institutions to control where all off-chain data (user profiles, KYC data, configuration) is physically stored.",Mandatory,Yes/Partial/No,,,,"5","[VARIABLE]"
RQ-079,Performance,Transaction Throughput,"State the maximum sustained transaction throughput (transactions per second) the platform can process under institutional production conditions.",Important,Quantitative,,,,"4","[VARIABLE]"
RQ-080,Performance,API Latency,"State the typical and 99th percentile API response latencies for common operations (token transfer, compliance check, balance query).",Important,Quantitative,,,,"3","[VARIABLE]"
RQ-081,Performance,Concurrent Users,"State the maximum number of concurrent users the platform has been tested to support without degradation.",Important,Quantitative,,,,"3","[VARIABLE]"
RQ-082,Performance,Stress Testing,"Describe any load testing and stress testing performed on the platform, including methodology, tools, and results.",Desirable,Describe,,,,"3","[VARIABLE]"
RQ-083,Performance,Indexer Performance,"Describe the indexer's performance characteristics including event processing rate, query response times, and behavior during zero-downtime reindexing.",Desirable,Describe,,,,"3","[FIXED]"
RQ-084,Regulatory,MiCA Compliance,"Describe how the platform supports compliance with the EU Markets in Crypto-Assets Regulation (MiCA) including token classification, whitepaper requirements, and reserve monitoring.",Mandatory,Describe,,,,"5","[FIXED]"
RQ-085,Regulatory,MiFID II Alignment,"Describe how the platform supports MiFID II requirements for tokenized securities including investor categorization, suitability, and transaction reporting.",Desirable,Describe,,,,"4","[FIXED]"
RQ-086,Regulatory,VARA Compliance,"Describe how the platform supports compliance with the UAE Virtual Assets Regulatory Authority (VARA) framework.",Desirable,Describe,,,,"3","[VARIABLE]"
RQ-087,Regulatory,Data Protection,"Describe how the platform handles personal data in compliance with GDPR and equivalent data protection regulations, including data minimization, right to erasure, and consent management.",Mandatory,Describe,,,,"5","[VARIABLE]"
RQ-088,Regulatory,Regulatory Audit Support,"The platform must provide exportable audit evidence (audit trails, compliance check records, identity verification evidence) in formats suitable for regulatory examination.",Important,Yes/Partial/No,,,,"5","[FIXED]"
RQ-089,Commercial,Licensing Model,"Describe the platform licensing model including whether pricing is based on platform access, per-transaction fees, per-asset fees, or other metrics.",Important,Describe,,,,"5","[FIXED]"
RQ-090,Commercial,Pricing Tiers,"Describe available pricing tiers and what capabilities, environments, and support levels are included in each tier.",Mandatory,Describe,,,,"5","[VARIABLE]"
RQ-091,Commercial,SLA Commitments,"State the platform uptime SLA commitment (e.g., 99.9%, 99.95%, 99.99%) and describe the service credit mechanism for SLA breaches.",Mandatory,Describe,,,,"5","[VARIABLE]"
RQ-092,Commercial,Contract Terms,"Describe standard contract term lengths, renewal terms, and early termination provisions.",Desirable,Describe,,,,"4","[VARIABLE]"
RQ-093,Commercial,Source Code Escrow,"Does the vendor offer source code escrow arrangements for business continuity assurance?",Desirable,Yes/No,,,,"3","[FIXED]"
RQ-094,Support,Support Tiers,"Describe available support tiers including coverage hours, communication channels, and named resource availability for each tier.",Mandatory,Describe,,,,"5","[VARIABLE]"
RQ-095,Support,Response Times,"State guaranteed response and resolution times for each severity level (P1 Critical through P4 General inquiry) per support tier.",Mandatory,Quantitative,,,,"5","[VARIABLE]"
RQ-096,Support,Training Program,"Describe the training program including available tracks (e.g., administrator, developer, end-user), delivery methods, and included documentation.",Important,Describe,,,,"4","[FIXED]"
RQ-097,Implementation,Timeline,"State the typical implementation timeline from contract signing to production go-live, broken down by phase, for a standard deployment.",Important,Quantitative,,,,"4","[VARIABLE]"
RQ-098,Implementation,Methodology,"Describe the implementation methodology including phases, deliverables per phase, resource requirements from both vendor and client, and governance structure.",Important,Describe,,,,"4","[FIXED]"
RQ-099,Data & Reporting,Reporting Capabilities,"Describe the platform's reporting capabilities including pre-built analytics views, statistical reporting, and data export formats (CSV, JSON) available for institutional reporting.",Desirable,Describe,,,,"4","[FIXED]"
RQ-100,Data & Reporting,Data Export,"The platform must support bulk data export of all audit trails, transaction history, compliance records, and identity events in machine-readable formats for integration with institutional data warehouses.",Desirable,Yes/Partial/No,,,,"4","[FIXED]"
